"","Id","groupId","matchId","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","matchType","maxPlace","numGroups","rankPoints","revives","rideDistance","roadKills","swimDistance","teamKills","vehicleDestroys","walkDistance","weaponsAcquired","winPoints","winPlacePerc"
"1494644","f733de5bc1923d","22f5ffb5e898bf","339bdc4ad55a8b",0,0,190.7,1,0,0,22,0,2,1,33.58,1889,"squad-fpp",29,29,1466,0,0,0,0,0,0,210.1,3,0,0.0714
"1319287","5906b12db725d3","b9b9079cf18b84","f7bfbfab040691",0,0,36,0,0,0,11,0,0,0,0,1808,"solo",17,2,1500,0,0,0,0,0,0,0,9,0,0
"36381","0acb9f742d6bdb","252b5042094339","1a9121c1563ed9",0,2,55.71,0,0,1,48,0,0,0,0,1916,"solo-fpp",96,92,1584,0,0,0,0,0,0,3129,7,0,0.6632
"2914345","564d2d1b64e7fa","56ec7fc9d1a80b","dd23b183d49c2a",0,4,254.1,0,0,2,6,0,3,2,41.05,1373,"solo-fpp",96,92,1500,0,812.4,0,0,0,0,2352,6,0,0.9368
"2632811","e242a1ed942c6a","e8bd58872fe4e3","a7789ba61a3885",1,1,40.85,0,0,4,55,1093,0,0,0,1942,"squad",28,27,-1,1,5825,0,0,0,0,1034,8,1493,0.5185
"455783","7ebcd0d7050b48","66206bb1787816","3e6c73ac9cbe48",0,0,100,1,0,0,68,0,0,0,0,1381,"squad",29,27,1514,0,0,0,0,0,0,385,2,0,0.2857
"4135735","86e6a3e8990a21","f01d9bf34f7428","a8a1ced001c12a",0,1,49.02,0,0,1,62,1042,0,0,0,1896,"squad",27,27,-1,1,846.3,0,0,0,0,694.7,7,1505,0.3846
"3158473","688a2ce2865a87","1b7df13215b350","36f756902aec5d",0,0,280.2,2,0,0,34,1297,1,1,53.27,1882,"squad",28,28,-1,1,226.5,0,0,0,0,1260,3,1478,0.2963
"2857223","d40ded9b98258e","6e7945f040bb5c","c16fce33076345",1,4,157.4,1,2,12,15,0,2,1,74.02,1796,"squad",28,27,1469,0,2354,0,0,0,0,1166,8,0,0.7037
"980390","6e74f98fcc6fa2","cd640cf69b109c","70092163472e89",0,0,178.1,2,2,1,24,1311,2,2,4.764,1781,"squad-fpp",27,27,-1,0,0,0,0,0,0,232.8,6,1538,0.1154
"211529","66ddbb460f1549","7045f8f256dca7","f0bd05cc133722",0,0,0,0,0,0,55,0,0,0,0,1335,"squad-fpp",29,28,1463,2,187.3,0,0,0,0,1325,3,0,0.5714
"2250010","d677cc8361cbb3","9ab1290d8421c1","e2f1a08a2f7acd",0,0,0,0,0,0,92,0,0,0,0,1340,"squad-fpp",27,26,1476,0,0,0,0,0,0,0,0,0,0
"3042949","3bd7aed76eee02","39afff6805f703","38f5503faa765d",1,0,392.7,2,0,1,7,0,3,1,89.79,1431,"duo",48,44,1490,0,0,0,0,0,0,885.6,3,0,0.6383
"1908553","7855866beda58d","8e640ed82014b8","330b00a0cd761c",1,3,298,1,1,3,29,0,1,1,54.02,1356,"squad-fpp",28,27,1500,2,0,0,0,0,0,3023,4,0,0.7778
